102.244.44.38 - - [02/May/2026:11:02:46 +0000] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 1041 "https://hacksam01.pythonanywhere.com/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.042
102.244.44.38 - - [02/May/2026:11:02:46 +0000] "GET /static/admin/css/responsive.css HTTP/1.1" 404 1039 "https://hacksam01.pythonanywhere.com/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.031
102.244.44.38 - - [02/May/2026:11:02:46 +0000] "GET /static/admin/css/login.css HTTP/1.1" 404 1035 "https://hacksam01.pythonanywhere.com/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.011
102.244.44.38 - - [02/May/2026:11:03:27 +0000] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0 "https://hacksam01.pythonanywhere.com/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=2.299
102.244.44.38 - - [02/May/2026:11:03:27 +0000] "GET /admin/ HTTP/1.1" 200 1831 "https://hacksam01.pythonanywhere.com/admin/login/?next=/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.052
102.244.44.38 - - [02/May/2026:11:03:27 +0000] "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 1039 "https://hacksam01.pythonanywhere.com/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.013
102.244.44.38 - - [02/May/2026:11:03:27 +0000] "GET /static/admin/css/base.css HTTP/1.1" 404 1034 "https://hacksam01.pythonanywhere.com/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.023
102.244.44.38 - - [02/May/2026:11:03:28 +0000] "GET /static/admin/css/responsive.css HTTP/1.1" 404 1039 "https://hacksam01.pythonanywhere.com/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.020
102.244.44.38 - - [02/May/2026:11:03:28 +0000] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 1040 "https://hacksam01.pythonanywhere.com/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.011
102.244.44.38 - - [02/May/2026:11:03:28 +0000] "GET /static/admin/js/theme.js HTTP/1.1" 404 1035 "https://hacksam01.pythonanywhere.com/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.022
102.244.44.38 - - [02/May/2026:11:03:28 +0000] "GET /static/admin/css/dashboard.css HTTP/1.1" 404 1038 "https://hacksam01.pythonanywhere.com/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.019
102.244.44.38 - - [02/May/2026:11:03:28 +0000] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 1041 "https://hacksam01.pythonanywhere.com/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.031
102.244.44.38 - - [02/May/2026:11:03:28 +0000] "GET /static/admin/css/responsive.css HTTP/1.1" 404 1039 "https://hacksam01.pythonanywhere.com/admin/" "Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0" "102.244.44.38" response-time=0.010
